service_prefix,name,SOC,PCI,ISO,FedRAMP_High,FedRAMP_Moderate,HIPAA,HITRUST,IRAP,OSPAR,FINMA
iotfleethub,Fleet Hub for AWS IoT Device Management,,,,,,,,,,
iotsitewise,AWS IoT SiteWise,,,,,,,,,,
iotthingsgraph,AWS IoT Things Graph,,,,,,,,,,
iotwireless,AWS IoT Core for LoRaWAN,true,true,true,true,true,true,,true,true,true
iq,AWS IQ,,,,,,,,,,
iq-permission,AWS IQ Permissions,,,,,,,,,,
ivs,Amazon Interactive Video Service,,,,,,,,,,
kafka,Amazon Managed Streaming for Kafka,true,true,,,,,,,true,true
kendra,Amazon Kendra,,true,true,,,true,,,,
kinesis,Amazon Kinesis,true,true,true,true,true,true,,true,true,true
kinesisanalytics,Amazon Kinesis Analytics V2,true,true,true,,,true,,,true,true
kinesisvideo,Amazon Kinesis Video Streams,true,true,true,,,true,,,true,true
kms,AWS Key Management Service,true,true,true,true,true,true,,true,true,true
lakeformation,AWS Lake Formation,true,true,true,true,true,true,,true,true,true
lambda,AWS Lambda,true,true,true,true,true,true,,true,true,true
launchwizard,Launch Wizard,,,,,,,,,,
lex,Amazon Lex,true,true,true,,,true,,,,true
license-manager,AWS License Manager,true,true,true,true,true,,,true,true,true
lightsail,Amazon Lightsail,,,,,,,,,,
logs,Amazon CloudWatch Logs,true,true,true,true,true,true,,true,,true
lookoutvision,Amazon Lookout for Vision,,,,,,,,,,
machinelearning,Amazon Machine Learning,,,,,,,,,,
macie,Amazon Macie Classic,true,true,true,true,true,true,,,,true
macie2,Amazon Macie,true,true,true,true,true,true,,,,true
managedblockchain,Amazon Managed Blockchain,,,,,,,,,,
marketplacecommerceanalytics,AWS Marketplace Commerce Analytics Service,,,,,,,,,,
mechanicalturk,Amazon Mechanical Turk,,,,,,,,,,
mediaconnect,AWS Elemental MediaConnect,true,true,true,,,true,,,true,true
mediaconvert,AWS Elemental MediaConvert,true,true,true,true,true,true,,true,,true
medialive,AWS Elemental MediaLive,true,true,true,,,true,,,,true
mediapackage,AWS Elemental MediaPackage,,,,,,,,,,
mediapackage-vod,AWS Elemental MediaPackage VOD,,,,,,,,,,
mediastore,AWS Elemental MediaStore,,,,,,,,,,
mediatailor,AWS Elemental MediaTailor,,,,,,,,,,
mgh,AWS Migration Hub,,,,,,,,,,
mobileanalytics,Amazon Mobile Analytics,,,,,,,,,,
mobilehub,AWS Mobile Hub,,,,,,,,,,
mobiletargeting,Amazon Pinpoint,true,true,true,true,true,true,,true,,true
monitron,Amazon Monitron,,,,,,,,,,
mq,Amazon MQ,true,true,true,,,true,,true,true,true
neptune-db,Amazon Neptune,true,true,true,,,true,,,true,true
network-firewall,AWS Network Firewall,,,,,,,,,,
networkmanager,Network Manager,,,,,,,,,,
opsworks,AWS OpsWorks,true,true,true,,,true,,,true,true
opsworks-cm,AWS OpsWorks Configuration Management,true,true,true,,,true,,,true,true
organizations,AWS Organizations,true,true,true,true,true,true,,true,true,true
outposts,AWS Outposts,true,true,true,,,true,,true,,true
panorama,AWS Panorama,,,,,,,,,,
personalize,Amazon Personalize,true,true,true,,,true,,,true,true
pi,AWS Performance Insights,,,,,,,,,,
polly,Amazon Polly,true,true,true,true,true,true,,true,true,true
pricing,AWS Price List,,,,,,,,,,
profile,Amazon Connect Customer Profiles,,,,,,,,,,
proton,AWS Proton,,,,,,,,,,
purchase-orders,AWS Purchase Orders Console,,,,,,,,,,
qldb,Amazon QLDB,true,true,true,,,true,,,,true
quicksight,Amazon QuickSight,true,true,true,true,true,true,,true,true,true
ram,AWS Resource Access Manager,,,,,,,,,,
rds,Amazon RDS,true,true,true,true,true,true,,true,true,true
rds-data,Amazon RDS Data API,true,true,true,true,true,true,,true,true,true
rds-db,Amazon RDS IAM Authentication,true,true,true,true,true,true,,true,true,true
redshift,Amazon Redshift,true,true,true,true,true,true,,true,true,true
redshift-data,Amazon Redshift Data API,,,,,,,,,,
rekognition,Amazon Rekognition,true,true,true,true,true,true,,true,true,true
resource-explorer,AWS Tag Editor,,,,,,,,,,
resource-groups,AWS Resource Groups,true,true,true,,,,,,true,true
robomaker,AWS RoboMaker,true,true,true,,,true,,,true,true
route53,Amazon Route 53,true,true,true,true,true,true,,true,true,true
route53domains,Amazon Route53 Domains,true,true,true,true,true,true,,true,true,true
route53resolver,Amazon Route 53 Resolver,,,true,,,,,,,
s3,Amazon S3,true,true,true,true,true,true,,true,true,true
s3-outposts,Amazon S3 on Outposts,,,,,,,,,,
sagemaker,Amazon SageMaker,true,true,true,true,true,true,,true,true,true
savingsplans,AWS Savings Plans,,,,,,,,,,
schemas,Amazon EventBridge Schemas,,,,,,,,,,
sdb,Amazon SimpleDB,true,true,true,,,,,,true,true
secretsmanager,AWS Secrets Manager,true,true,true,true,true,true,,true,true,true
securityhub,AWS Security Hub,true,true,true,true,true,true,,true,true,true
serverlessrepo,AWS Serverless Application Repository,true,true,true,true,true,true,,true,true,true
